time_us,input_abs2,output_abs2,rho_sg_abs2_norm,Omega_c
3.3098274568642165,3.155428702655121e+20,,,617477.3257618464
3.31132783195799,3.065620152190607e+20,,,711748.6732063999
3.3128282070517634,2.97825151581996e+20,,,806020.0206509534
3.314328582145537,2.89325997628515e+20,,,900291.3680955069
3.3158289572393103,2.8105842335688956e+20,,,994562.7155400602
3.3173293323330837,2.730164471024676e+20,,,1088834.0629846137
3.318829707426857,2.6519423221888195e+20,,,1183105.4104291673
3.3203300825206306,2.5758608382627774e+20,,,1277376.7578737207
3.321830457614404,2.5018644562539102e+20,,,1371648.105318274
3.323330832708177,2.4298989677632966e+20,,,1465919.4527628275
3.3248312078019504,2.359911488409137e+20,,,1560190.8002073811
3.326331582895724,2.2918504278746228e+20,,,1654462.1476519345
3.3278319579894973,2.2256654605691604e+20,,,1748733.495096488
3.3293323330832707,2.1613074968920608e+20,,,1843004.8425410416
3.330832708177044,2.0987286550880207e+20,,,1937276.189985595
3.332333083270818,2.0378822336836528e+20,,,2031547.5374301749
3.3338334583645914,1.97872268449483e+20,,,2125818.8848747285
3.335333833458365,1.921205586194197e+20,,,2220090.232319282
3.3368342085521383,1.865287618429187e+20,,,2314361.5797638353
3.3383345836459117,1.8109265364800904e+20,,,2408632.927208389
3.339834958739685,1.7580811464485778e+20,,,2502904.274652942
3.3413353338334586,1.70671128096686e+20,,,2597175.6220974955
3.342835708927232,1.656777775417924e+20,,,2691446.9695420493
3.3443360840210055,1.6082424446574926e+20,,,2785718.3169866027
3.345836459114779,1.5610680602282764e+20,,,2879989.664431156
3.3473368342085523,1.5152183280575e+20,,,2974261.0118757095
3.3488372093023258,1.470657866628613e+20,,,3068532.3593202634
3.350337584396099,1.4273521856183124e+20,,,3162803.7067648163
3.3518379594898726,1.3852676649902216e+20,,,3257075.0542093697
3.353338334583646,1.3443715345364858e+20,,,3351346.4016539236
3.3548387096774195,1.3046318538588961e+20,,,3445617.749098477
3.356339084771193,1.2660174927812041e+20,,,3539889.0965430303
3.3578394598649663,1.2284981121843539e+20,,,3634160.4439875837
3.3593398349587402,1.1920441452566151e+20,,,3728431.791432164
3.3608402100525137,1.1566267791506507e+20,,,3822703.1388767175
3.362340585146287,1.1222179370395854e+20,,,3916974.4863212705
3.3638409602400605,1.0887902605645321e+20,,,4011245.833765824
3.365341335333834,1.0563170926659168e+20,,,4105517.1812103773
3.3668417104276074,1.0247724607910953e+20,,,4199788.528654931
3.368342085521381,9.941310604710044e+19,,,4294059.876099485
3.3698424606151542,9.643682392585906e+19,,,4388331.223544038
3.3713428357089277,9.354599810219131e+19,,,4482602.570988592
3.372843210802701,9.073828905849387e+19,,,4576873.918433145
