time_us,Omega_in_abs2,Omega_out_dopp_abs2,Omega_out_nodopp_abs2
1.6549137284321083,1.037130835262462e+24,,0.004506429159520019
1.6564141035258817,1.0519131615049502e+24,,0.010422881535770433
1.6579144786196551,1.06686456351051e+24,,0.017348393550052788
1.6594148537134286,1.0819862696966176e+24,,0.024913066869322913
1.660915228807202,1.0972795058455782e+24,,0.0345106018743126
1.6624156039009752,1.1127454948745555e+24,,0.043081558557643215
1.6639159789947486,1.1283854566029208e+24,,0.05453761323037111
1.665416354088522,1.1442006075169237e+24,,0.06695680482243564
1.6669167291822957,1.1601921605316998e+24,,0.07782159540352279
1.6684171042760692,1.1763613247506413e+24,,0.08625437022251918
1.6699174793698426,1.1927093052221584e+24,,0.0980873099706323
1.671417854463616,1.2092373026938284e+24,,0.10676080040011635
1.6729182295573894,1.225946513363977e+24,,0.1119608605568575
1.6744186046511629,1.2428381286306997e+24,,0.11404995495759018
1.6759189797449363,1.2599133348383615e+24,,0.1187340662294575
1.6774193548387097,1.277173313021578e+24,,0.11973772589863922
1.6789197299324832,1.2946192386467314e+24,,0.12100403291830038
1.6804201050262568,1.3122522813510294e+24,,0.12393168741962028
1.6819204801200303,1.3300736046791184e+24,,0.11682270501294119
1.6834208552138037,1.3480843658173506e+24,,0.11955534194732305
1.6849212303075771,1.3662857153256246e+24,,0.10970879066291564
1.6864216054013506,1.3846787968669373e+24,,0.10040077279073059
1.6879219804951238,1.403264746934611e+24,,0.09195795836716394
1.6894223555888972,1.4220446945772519e+24,,0.08224179722022375
1.6909227306826706,1.4410197611214872e+24,,0.07421285296593103
1.692423105776444,1.4601910598924815e+24,,0.06421340469855369
1.6939234808702177,1.4795596959323138e+24,,0.05711987567147332
1.6954238559639911,1.4991267657161918e+24,,0.0439112298134713
1.6969242310577646,1.5188933568666306e+24,,0.03797433363719365
1.698424606151538,1.5388605478655357e+24,,0.029655456339078994
1.6999249812453114,1.5590294077643018e+24,,0.020196538104123522
1.7014253563390849,1.5794009958919474e+24,,0.014019438770988565
1.7029257314328583,1.5999763615613125e+24,,0.0078035360846598935
1.7044261065266317,1.6207565437733993e+24,,0.004379303169287
1.7059264816204052,1.6417425709198548e+24,,0.001689087985210458
1.7074268567141788,1.6629354604836905e+24,,0.00033139114925809915
1.7089272318079523,1.6843362187382408e+24,,4.259224439431938e-05
1.7104276069017257,1.705945840444447e+24,,0.0010142086041066973
1.7119279819954991,1.7277653085464957e+24,,0.0027229709132342477
1.7134283570892723,1.7497955938658507e+24,,0.0071336845011213115
1.7149287321830458,1.7720376547937636e+24,,0.011804263106592766
1.7164291072768192,1.7944924369822998e+24,,0.01571720091957044
1.7179294823705926,1.8171608730339017e+24,,0.02280082718703348
1.719429857464366,1.8400438821896182e+24,,0.027043255606928652
1.7209302325581397,1.8631423700159687e+24,,0.03368238738234728
1.7224306076519131,1.8864572280905663e+24,,0.04065964564300456
1.7239309827456866,1.9099893336865363e+24,,0.04398131902054449
1.72543135783946,1.9337395494557696e+24,,0.04964315650980794
1.7269317329332334,1.9577087231111077e+24,,0.055083886955668876
1.7284321080270069,1.9818976871074775e+24,,0.06394681990713996
1.7299324831207803,2.00630725832209e+24,,0.06721009895119784
1.7314328582145537,2.0309382377337118e+24,,0.07109838767271634
1.7329332333083272,2.0557914101011201e+24,,0.0711243879508064
1.7344336084021008,2.0808675436407834e+24,,0.0693463132060534
1.7359339834958742,2.1061673897038114e+24,,0.0730578635454387
1.7374343585896477,2.1316916824523165e+24,,0.06888629890228148
1.738934733683421,2.1574411385351635e+24,,0.0667755537471593
1.7404351087771943,2.1834164567632448e+24,,0.06459188466387644
1.7419354838709677,2.209618317784309e+24,,0.0639848108496207
1.7434358589647412,2.2360473837574465e+24,,0.060857590917856356
1.7449362340585146,2.262704298027289e+24,,0.05441469649447359
1.746436609152288,2.2895896847979847e+24,,0.04875521655471759
1.7479369842460617,2.3167041488070506e+24,,0.042839763806237205
1.7494373593398351,2.3440482749991475e+24,,0.03788070359875592
1.7509377344336086,2.3716226281998883e+24,,0.030219598361682427
1.752438109527382,2.3994277527897222e+24,,0.025346705519189258
1.7539384846211554,2.4274641723779815e+24,,0.022015812867741423
1.7554388597149289,2.4557323894771995e+24,,0.01652531922575663
1.7569392348087023,2.4842328851777317e+24,,0.013032106207991627
1.7584396099024757,2.512966118822786e+24,,0.009477687141903557
1.7599399849962492,2.5419325276839694e+24,,0.004985696230792731
1.7614403600900228,2.571132526637362e+24,,0.0027248271747331945
1.7629407351837962,2.6005665078402724e+24,,0.0010893457243332685
1.7644411102775697,2.63023484040873e+24,,0.00014328622842938149
1.7659414853713429,2.66013787009579e+24,,0.00012909607755835805
1.7674418604651163,2.6902759189707426e+24,,0.0005220119563752285
1.7689422355588897,2.720649285099317e+24,,0.0015306451798660547
