time_us,output_co_abs2,output_counter_abs2
1.1027568922305766,4.922746485761862e+21,4.922746485761862e+21
1.1152882205513786,6.112424548812518e+21,6.112424548812518e+21
1.1278195488721805,7.549179791355828e+21,7.549179791355828e+21
1.1403508771929827,9.27715220980919e+21,9.27715220980919e+21
1.1528822055137844,1.1347089418185001e+22,1.1347089418185001e+22
1.1654135338345866,1.3817103196428213e+22,1.3817103196428213e+22
1.1779448621553885,1.6753470838704848e+22,1.6753470838704848e+22
1.1904761904761907,2.023147606525643e+22,2.023147606525643e+22
1.2030075187969924,2.4336282384125955e+22,2.4336282384125955e+22
1.2155388471177946,2.9163829706045256e+22,2.9163829706045256e+22
1.2280701754385968,3.4821742741930014e+22,3.4821742741930014e+22
1.2406015037593985,4.143023727124691e+22,4.143023727124691e+22
1.2531328320802007,4.91230077939464e+22,4.91230077939464e+22
1.2656641604010026,5.80480774119044e+22,5.80480774119044e+22
1.2781954887218048,6.836858808184521e+22,6.836858808184521e+22
1.2907268170426065,8.02635067054699e+22,8.02635067054699e+22
1.3032581453634087,9.392821994987746e+22,9.392821994987746e+22
1.3157894736842106,1.095749883085487e+23,1.095749883085487e+23
1.3283208020050126,1.2743322781587335e+23,1.2743322781587335e+23
1.3408521303258147,1.477495861200523e+23,1.477495861200523e+23
1.3533834586466167,1.7078777840984823e+23,1.7078777840984823e+23
1.3659147869674189,1.9682814809309287e+23,1.9682814809309287e+23
1.3784461152882206,2.2616691725254168e+23,2.2616691725254168e+23
1.3909774436090228,2.5911509286780373e+23,2.5911509286780373e+23
1.4035087719298247,2.959969966935534e+23,2.959969966935534e+23
1.4160401002506267,3.371483896154433e+23,3.371483896154433e+23
1.4285714285714286,3.82914165340925e+23,3.82914165340925e+23
1.4411027568922308,4.336455934765275e+23,4.336455934765275e+23
1.4536340852130327,4.896970984238283e+23,4.896970984238283e+23
1.4661654135338347,5.5142256809112616e+23,5.5142256809112616e+23
1.4786967418546368,6.191711951294421e+23,6.191711951294421e+23
1.4912280701754388,6.932828631851813e+23,6.932828631851813e+23
1.5037593984962407,7.740831014016878e+23,7.740831014016878e+23
1.5162907268170427,8.618776419402591e+23,8.618776419402591e+23
1.5288220551378449,9.569466274275955e+23,9.569466274275955e+23
1.5413533834586468,1.0595385277291094e+24,1.0595385277291094e+24
1.5538847117794488,1.1698638380157697e+24,1.1698638380157697e+24
1.5664160401002507,1.2880886424208393e+24,1.2880886424208393e+24
1.5789473684210529,1.4143281393290534e+24,1.4143281393290534e+24
1.5914786967418546,1.5486402351396402e+24,1.5486402351396402e+24
1.6040100250626568,1.6910193228212392e+24,1.6910193228212392e+24
1.616541353383459,1.8413903693532938e+24,1.8413903693532938e+24
1.6290726817042607,1.9996034418597273e+24,1.9996034418597273e+24
1.6416040100250628,2.16542880554288e+24,2.16542880554288e+24
1.6541353383458648,2.3385527271119564e+24,2.3385527271119564e+24
1.666666666666667,2.518574115012614e+24,2.518574115012614e+24
1.6791979949874687,2.705002122205492e+24,2.705002122205492e+24
1.6917293233082709,2.897254828387981e+24,2.897254828387981e+24
1.7042606516290728,3.094659106363106e+24,3.094659106363106e+24
1.7167919799498748,3.2964517617821226e+24,3.2964517617821226e+24
1.7293233082706767,3.5017820168675874e+24,3.5017820168675874e+24
